"Source Name","Date Modified","Data Source","Date Created",Owner,Organization,Description
bus-office_l.ott,"2007-12-10 12:27:56 EET",jo-2009-11-16.E01,"2005-03-07 18:41:53 EET",,,Hivatali
off-office_l.ott,"2007-12-10 12:30:10 EET",jo-2009-11-16.E01,"2005-03-07 18:26:24 EET",,,Hivatali
off-modern_l.ott,"2007-12-10 12:27:04 EET",jo-2009-11-16.E01,"2005-03-07 18:33:21 EET",,,Modern
pri-bottle_l.ott,"2005-03-07 21:18:45 EET",jo-2009-11-16.E01,"2005-03-07 18:16:38 EET",,,Palackposta
pri-mail_l.ott,"2005-03-07 21:18:32 EET",jo-2009-11-16.E01,"2005-03-07 18:15:55 EET",,,Boríték
pri-redline_l.ott,"2005-03-07 21:17:55 EET",jo-2009-11-16.E01,"2005-03-07 15:18:20 EET",,,"Vörös vonal"
pri-marine_l.ott,"2005-03-07 21:18:16 EET",jo-2009-11-16.E01,"2005-03-07 18:11:20 EET",,,Tenger
bus-modern_l.ott,"2007-12-10 12:32:13 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Moderno
bus-elegant_l.ott,"2007-12-10 12:32:30 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Elegante
bus-office_l.ott,"2007-12-10 12:31:53 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Ufficio
off-elegant_l.ott,"2007-12-10 12:31:28 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Elegante
off-office_l.ott,"2007-12-10 12:32:51 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Ufficio
off-modern_l.ott,"2007-12-10 12:31:09 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Moderno
pri-bottle_l.ott,"2005-07-28 15:29:58 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Bottiglia
pri-mail_l.ott,"2005-07-28 15:30:22 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Posta
pri-marine_l.ott,"2005-07-28 15:30:11 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Marina
pri-redline_l.ott,"2005-07-28 15:29:49 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,"Linea rossa"
pri-bottle_l.ott,"2005-07-28 15:31:15 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,ボトル
pri-mail_l.ott,"2005-07-28 15:31:32 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,メール
pri-redline_l.ott,"2005-07-28 15:31:05 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,赤い線
pri-marine_l.ott,"2005-07-28 15:31:25 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,海の
