"Source Name",URL,"Date Accessed",Name,Value,"Program Name",Domain,"Data Source"
cookies.sqlite,.sfgate.com,"2009-11-16 21:31:46 EET",__qca,"P0-1086830638-1258398319988","FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,.zedo.com,"2009-11-16 21:30:15 EET",FFgeo,16058028,"FireFox Analyzer",zedo.com,jo-2009-11-16.E01
cookies.sqlite,.undertone.com,"2009-11-16 21:05:30 EET",A28X,CT-1,"FireFox Analyzer",undertone.com,jo-2009-11-16.E01
cookies.sqlite,ads.undertone.com,"2009-11-16 21:05:22 EET",UTID,"1327b13030b1bcd2fddfc62c4eabc225","FireFox Analyzer",undertone.com,jo-2009-11-16.E01
cookies.sqlite,ads.undertone.com,"2009-11-16 21:05:22 EET",UTPROFILES,"14564%2317%3A1%7C21%3A1","FireFox Analyzer",undertone.com,jo-2009-11-16.E01
cookies.sqlite,.zedo.com,"2009-11-16 21:30:18 EET",FFad,1:0:0:0,"FireFox Analyzer",zedo.com,jo-2009-11-16.E01
cookies.sqlite,.zedo.com,"2009-11-16 21:30:18 EET",FFcat,"1073,1,7:1073,2,14:1073,8,9:1073,1,14","FireFox Analyzer",zedo.com,jo-2009-11-16.E01
cookies.sqlite,.zedo.com,"2009-11-16 21:30:15 EET",ZEDOIDX,21,"FireFox Analyzer",zedo.com,jo-2009-11-16.E01
cookies.sqlite,.advertising.com,"2009-11-16 23:02:58 EET",ACID,Yb480012583983000023,"FireFox Analyzer",advertising.com,jo-2009-11-16.E01
cookies.sqlite,.advertising.com,"2009-11-16 23:02:58 EET",F1,"BMDqBskAAAAAxztCAEAAYEABAAAABAAAAIAAYEA","FireFox Analyzer",advertising.com,jo-2009-11-16.E01
cookies.sqlite,.advertising.com,"2009-11-16 23:02:58 EET",BASE,"nKgGaL51rUHgriEQErdsPyD!","FireFox Analyzer",advertising.com,jo-2009-11-16.E01
cookies.sqlite,.advertising.com,"2009-11-16 23:02:58 EET",ROLL,"DQwQWdf30wwfECBcUdTko2A!","FireFox Analyzer",advertising.com,jo-2009-11-16.E01
cookies.sqlite,.imrworldwide.com,"2009-11-16 23:00:41 EET",V5,"AStfMR4zITZbIV0-DiYjIy8dJlkrDVInHlLNBw??","FireFox Analyzer",imrworldwide.com,jo-2009-11-16.E01
cookies.sqlite,.imrworldwide.com,"2009-11-16 23:00:41 EET",IMRID,SwGiY9C4JFIAAFin6Io,"FireFox Analyzer",imrworldwide.com,jo-2009-11-16.E01
cookies.sqlite,.truveo.com,"2009-11-16 21:05:34 EET",unique,"b2b3f0eb0386629-d2883fdac676e4f","FireFox Analyzer",truveo.com,jo-2009-11-16.E01
cookies.sqlite,www.sfgate.com,"2009-11-16 21:31:46 EET",__utma,"1.736215576.1258398337.1258398337.1258398337.1","FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,www.sfgate.com,"2009-11-16 21:31:46 EET",__utmb,1.2.10.1258398337,"FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,www.sfgate.com,"2009-11-16 21:31:46 EET",__utmz,"1.1258398337.1.1.utmcsr=sfgate.com|utmccn=(referral)|utmcmd=referral|utmcct=/sports/","FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,.zedo.com,"2009-11-16 21:30:15 EET",ZEDOIDA,"sSDEaAoBAIoAACbsxewAAALM~111609","FireFox Analyzer",zedo.com,jo-2009-11-16.E01
cookies.sqlite,.zedo.com,"2009-11-16 21:30:18 EET",FFChanCap,"1050B1073,2#657740,1#653283#652282|0,1,1:0,1,1:0,1,1","FireFox Analyzer",zedo.com,jo-2009-11-16.E01
cookies.sqlite,.contextweb.com,"2009-11-16 21:05:52 EET",CWVID1,HUk4rf3F,"FireFox Analyzer",contextweb.com,jo-2009-11-16.E01
cookies.sqlite,tag.contextweb.com,"2009-11-16 21:05:52 EET",WC,"^40169_1_11/17/2009 2:05:29 PM","FireFox Analyzer",contextweb.com,jo-2009-11-16.E01
cookies.sqlite,.contextweb.com,"2009-11-16 21:05:52 EET",CDSActionTracking5,"wuNRNfpo|HUk4rf3F|520425|1958|4168|40169|69527|66601|4|306|25|sfgate.com|2|8|1|0|2|1|1||1|1|PNZL6jWDBHxC_ZlK_vSf9LGN0dwdT3PeB42hOSrQ7eM^|I|11/16/2009 2:05:29 PM|12/16/2009 2:05:29 PM","FireFox Analyzer",contextweb.com,jo-2009-11-16.E01
cookies.sqlite,.contextweb.com,"2009-11-16 21:05:52 EET",cr,"24|1|-8589426037555040556|1","FireFox Analyzer",contextweb.com,jo-2009-11-16.E01
cookies.sqlite,.scorecardresearch.com,"2009-11-16 23:04:56 EET",UID,"ffe10d1-209.107.213.112-1258398330","FireFox Analyzer",scorecardresearch.com,jo-2009-11-16.E01
cookies.sqlite,.sfgate.com,"2009-11-16 21:31:33 EET",SFGateInterstitial4,done,"FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,.adinterax.com,"2009-11-16 21:28:43 EET",adxid,01039d4b01a7d4f7,"FireFox Analyzer",adinterax.com,jo-2009-11-16.E01
cookies.sqlite,.adinterax.com,"2009-11-16 21:28:43 EET",adxf,264320@1@564,"FireFox Analyzer",adinterax.com,jo-2009-11-16.E01
cookies.sqlite,.kaango.com,"2009-11-16 21:31:35 EET",PHPSESSID,"da23e605c29642256e9523ad4a3e10b2","FireFox Analyzer",kaango.com,jo-2009-11-16.E01
cookies.sqlite,.sfgate.com,"2009-11-16 21:31:33 EET",comments_per_pg,10,"FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,.sfgate.com,"2009-11-16 21:31:33 EET",anonId,"261ef796-ae64-465e-8bb0-b718259fab45","FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,.afy11.net,"2009-11-16 21:30:16 EET",a,N-njZphbM0yKfRSupwOQGQ,"FireFox Analyzer",afy11.net,jo-2009-11-16.E01
cookies.sqlite,.target.com,"2009-11-16 21:31:36 EET",v1st,42C2A2691604FC80,"FireFox Analyzer",target.com,jo-2009-11-16.E01
cookies.sqlite,analytics.spongecell.com,"2009-11-16 21:31:53 EET",auid,C8ECCksBqJIaFw5LKe0nAg==,"FireFox Analyzer",spongecell.com,jo-2009-11-16.E01
cookies.sqlite,.ads.pointroll.com,"2009-11-16 23:00:40 EET",PRID,"3943468E-3C75-4682-BAAA-58CF570CD3BA","FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.pointroll.com,"2009-11-16 23:00:40 EET",PRbu,EeIIOdMvS,"FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.pointroll.com,"2009-11-16 23:00:40 EET",PRgo,BBBAAFMjA,"FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.ads.pointroll.com,"2009-11-16 23:00:40 EET",PRimp,"83780400-FD4B-52E1-0207-969000490100","FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.ads.pointroll.com,"2009-11-16 23:00:40 EET",PRca,"|AIFT*1737:1|AIRG*1153:1|#","FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.ads.pointroll.com,"2009-11-16 23:00:40 EET",PRcp,"|AIFT:1|AIRG:1|#","FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.ads.pointroll.com,"2009-11-16 23:00:40 EET",PRpl,"|Dbp5:1|DgUi:1|#","FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.ads.pointroll.com,"2009-11-16 23:00:40 EET",PRcr,"|FQiq:1|FU3R:1|#","FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.ads.pointroll.com,"2009-11-16 23:00:40 EET",PRpc,"|Dbp5:1|DgUi:1|#","FireFox Analyzer",pointroll.com,jo-2009-11-16.E01
cookies.sqlite,.sfgate.com,"2009-11-16 21:32:18 EET",comments_sort_order,TimeStampDescending,"FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,webmail.m57.biz,"2009-11-16 21:36:19 EET",squirrelmail_language,en_US,"FireFox Analyzer",m57.biz,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET",SelectedEdition,www,"FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.questionmarket.com,"2009-11-17 02:00:26 EET",ES,"644521-wa}{L-0_648221-x)0|L-h1_653883-zH2|L-0","FireFox Analyzer",questionmarket.com,jo-2009-11-16.E01
cookies.sqlite,.2o7.net,"2009-11-16 23:00:44 EET","s_vi_px7Ex7Dedcx7Ftcrx7Fx7Fx7Cx7Ex7Fth","[CS]v4|2580DEB0851D2A3B-6000010140005D8A|4B01BD60[CE]","FireFox Analyzer",2o7.net,jo-2009-11-16.E01
cookies.sqlite,.facebook.com,"2009-11-16 23:01:46 EET",datr,"1258405216-8e9e039ce03e53ea53f3866354aaafea86fa523e0e3569bba147d","FireFox Analyzer",facebook.com,jo-2009-11-16.E01
cookies.sqlite,.facebook.com,"2009-11-16 23:01:46 EET",locale,en_US,"FireFox Analyzer",facebook.com,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET","fbsetting_64b385429f05b2492d713f343d05ba02","%7B%22connectState%22%3A2%2C%22oneLineStorySetting%22%3A3%2C%22shortStorySetting%22%3A3%2C%22inFacebook%22%3Afalse%7D","FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.tacoda.net,"2009-11-16 23:02:51 EET",TID,15g3fb21c7v2qk,"FireFox Analyzer",tacoda.net,jo-2009-11-16.E01
cookies.sqlite,.tacoda.net,"2009-11-16 23:02:58 EET",ANRTT,"60130^1^1259010018|50229^1^1259010155","FireFox Analyzer",tacoda.net,jo-2009-11-16.E01
cookies.sqlite,.tacoda.net,"2009-11-16 23:02:58 EET",Tsid,"0^1258405218^1258407155|16399^1258405218^1258407018|16651^1258405355^1258407155","FireFox Analyzer",tacoda.net,jo-2009-11-16.E01
cookies.sqlite,.tacoda.net,"2009-11-16 23:02:58 EET",TData,"99999|^|#|60130|50229","FireFox Analyzer",tacoda.net,jo-2009-11-16.E01
cookies.sqlite,.tacoda.net,"2009-11-16 23:02:58 EET",Anxd,x,"FireFox Analyzer",tacoda.net,jo-2009-11-16.E01
cookies.sqlite,.tacoda.net,"2009-11-16 23:02:58 EET",N,"2:1ddcfe02ee81cfba694dc2c8f1d58371,27a3e26eb8f394717dce820ff793a5e6","FireFox Analyzer",tacoda.net,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET",AxData,,"FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET",__qseg,Q_D,"FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET",__qca,"P0-1853507426-1258405241566","FireFox Analyzer",cnn.com,jo-2009-11-16.E01
